,age_ratings,aggregated_rating,aggregated_rating_count,artworks,category,dlcs,expansions,first_release_date,franchise,franchises,game_modes,genres,hypes,id,keywords,multiplayer_modes,name,popularity,pulse_count,rating,rating_count,release_dates,similar_games,slug,storyline,summary,tags,themes,time_to_beat,total_rating,total_rating_count,url
10,[24721],92.7777777777778,12.0,0,0,0,0,1564099200.0,769.0,[769],[1],"[12, 16, 24, 31]",19.0,26845,"[296, 1026, 1313, 1484, 1916, 1923, 4287, 4397, 4852, 5193, 11772]",0,Fire Emblem: Three Houses,362.5269925956771,440.0,90.20626609062379,21.0,[165061],"[7615, 13196, 19404, 22387, 28168, 28309, 36198, 55038, 55092, 55199]",fire-emblem-three-houses,"War is coming to the continent of Fódlan. 
 
Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?","Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?","[17, 39, 268435468, 268435472, 268435480, 268435487, 536871208, 536871938, 536872225, 536872396, 536872828, 536872835, 536875199, 536875309, 536875764, 536876105, 536882684]","[17, 39]",0.0,91.49202193420079,33.0,https://www.igdb.com/games/fire-emblem-three-houses
11,[25495],45.3333333333333,3.0,"[5812, 5813, 5814, 5815, 5816, 5817, 5818, 5819, 5820, 5821, 5822, 5823]",0,0,0,1536278400.0,0.0,0,[1],"[5, 12, 31]",4.0,55038,"[970, 1026]",0,Immortal: Unchained,324.8586437987169,25.0,62.6446280991736,7.0,"[152880, 152881, 152882]","[26950, 55199, 81249, 96217, 101608, 103276, 105049, 105269, 106987, 119171]",immortal-unchained,0,Immortal: Unchained is a souls-inspired third-person shooter/action RPG.,"[1, 17, 18, 268435461, 268435468, 268435487, 536871882, 536871938]","[1, 17, 18]",0.0,53.98898071625345,10.0,https://www.igdb.com/games/immortal-unchained
12,0,65.0,1.0,0,0,0,0,1516752000.0,0.0,0,[1],"[12, 24, 31, 32]",1.0,22387,"[117, 296, 415, 478, 521, 1026, 1027, 4134, 4154, 4162, 4224]",0,Legrand Legacy,313.0454929925696,10.0,83.24607329842931,8.0,"[179838, 179839, 179840, 179841]","[19150, 23733, 26226, 28309, 35994, 36198, 55092, 55199, 56033, 96217]",legrand-legacy,0,"LEGRAND LEGACY - TALE OF THE FATEBOUNDS 
LEGRAND LEGACY is a spiritual successor to some all-time favorite JRPGs with a fresh take on the classic turn-based combat. Explore a beautifully hand-drawn world riddled with fantastical creatures, devastating wars, and intriguing stories of personal redemption. Play our demo and discover why Legrand Legacy is the ""Most Promising Game"" of the year! 
 
THE STORY 
Mugna Feud, the great war between the Kingdoms of Fandor and Altea, puts Legrand in a chaotic state. You play as Finn, a young slave who wakes up without any memory of his past, yet soon discovers that he possesses mysterious powers beyond his control. Embark on an epic adventure in this sprawling fantasy universe and fight alongside the Fatebounds to bring peace back to Legrand and prevent the Second Coming! But be careful who you trust, everyone has a secret to hide… 
 
RELEASE INFO 
Legrand Legacy will be released for Windows on Steam and DRM-free in September 2017 
 
HIGHLIGHTS 
- A fully immersive experience with stunning FMV, fully rendered 3D cinematic, and epic original soundtrack 
- 3D models and original assets come together with gorgeously stylized hand-drawn 2D backgrounds 
- Action packed turn-based combat and tactical warfare scenarios that will test your wits and keep you on your toes 
- Recruit NPCs to rebuild your castle, play mini games, or go on rewarding side quests 
- Collect loot from slain enemies and craft items or sell them for money 
- Configure items and grimoire that characters can wield in combat, set combat formation, or review journal to track quests","[1, 17, 39, 268435468, 268435480, 268435487, 268435488, 536871029, 536871208, 536871327, 536871390, 536871433, 536871938, 536871939, 536875046, 536875066, 536875074, 536875136]","[1, 17, 39]",0.0,74.12303664921465,9.0,https://www.igdb.com/games/legrand-legacy
13,[9372],0.0,0.0,0,0,0,0,1402617600.0,0.0,0,[1],[13],0.0,22472,"[343, 847, 1270, 1484, 1961, 3586]",0,Artificial Academy 2,302.9167690581762,0.0,77.93115741858679,22.0,[55078],"[19075, 19809, 22426, 22470, 22471, 22482, 28465, 41895, 67166, 68049]",artificial-academy-2,0,"Artificial Academy 2 is an eroge high school social simulation, sequel of Artificial Academy. 
 
Create and play up to 25 students of varying gender, orientation with interaction abilities and personal inclinations. Make friends and lovers as the class competes for achievements in academics, athletics, popularity, and romance.","[42, 268435469, 536871255, 536871759, 536872182, 536872396, 536872873, 536874498]",[42],0.0,77.93115741858679,22.0,https://www.igdb.com/games/artificial-academy-2
14,[23490],0.0,0.0,0,0,0,0,1037318400.0,0.0,0,[1],[31],0.0,22490,"[78, 94, 343, 345, 847, 1027, 1961, 2470, 7296]",0,Suck My Dick or Die!,300.5349515119021,0.0,0.0,0.0,[55101],"[17906, 22426, 22482, 41895, 58814, 59046, 59048, 59173, 59218, 68049]",suck-my-dick-or-die,"The anti-government guerrillas were fighting against the government in the country which was politically unrest.
There was an incident that a little girl was raped and murdered by the guerrillas in a small village.
Mr. Prosper, who is the commander of the military, advanced his men to this small village to hunt the guerrillas.
But the incident was all planned out by him, so that he could have a raping party for himself. The girls, who were suspicious as guerrillas, were arrested. That was the beginning of the insane raping party.",The game notoriously came to attention (aside from it's name) for being banned on Twitch.,"[42, 268435487, 536870990, 536871006, 536871255, 536871257, 536871759, 536871939, 536872873, 536873382, 536878208]",[42],0.0,0.0,0.0,https://www.igdb.com/games/suck-my-dick-or-die
15,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,[13],2.0,68049,"[78, 343, 1148, 1961, 3586, 7296]",0,The Maiden Rape Assault: Violent Semen Inferno,294.4212755565392,0.0,0.0,0.0,0,"[19075, 22426, 22472, 22482, 22490, 28465, 41895, 43130, 67166, 119656]",the-maiden-rape-assault-violent-semen-inferno,0,A rape-themed pornographic game in which the player character performs actions such as forcing himself sexually on a stranger on her wedding day.,"[42, 268435469, 536870990, 536871255, 536872060, 536872873, 536874498, 536878208]",[42],0.0,0.0,0.0,https://www.igdb.com/games/the-maiden-rape-assault-violent-semen-inferno
16,0,0.0,0.0,0,0,0,0,1481587200.0,0.0,0,"[1, 2, 3]","[12, 13, 15, 31, 32]",0.0,26574,"[1026, 3782]",0,Force of Nature,283.819831449854,0.0,60.0,2.0,[63132],"[9243, 10776, 17379, 24765, 25300, 25311, 26145, 27092, 35994, 81680]",force-of-nature,0,"Force of Nature is an indie open world sandbox game with fighting, crafting, building and farming systems.","[1, 21, 33, 38, 268435468, 268435469, 268435471, 268435487, 268435488, 536871938, 536874694]","[1, 21, 33, 38]",0.0,60.0,2.0,https://www.igdb.com/games/force-of-nature
17,[25530],74.8,6.0,[6387],0,0,0,1548288000.0,0.0,0,"[1, 2, 3]","[8, 9, 31, 32]",1.0,55190,"[117, 2049, 2875, 4134, 4154]",0,Pikuniku,273.8169167306466,23.0,97.0,4.0,"[164153, 164154]","[19150, 20329, 20342, 24426, 26226, 28070, 36198, 55173, 56033, 116681]",pikuniku,0,"Pikuniku is an absurdly wonderful puzzle-exploration game that takes place in a strange but playful world where not everything is as happy as it seems. Help peculiar characters overcome struggles, uncover a deep state conspiracy, and start a fun little revolution in this delightful dystopian adventure!","[1, 268435464, 268435465, 268435487, 268435488, 536871029, 536872961, 536873787, 536875046, 536875066]",[1],0.0,85.9,10.0,https://www.igdb.com/games/pikuniku
18,"[25533, 25534]",75.5,9.0,[7798],0,0,0,1564704000.0,224.0,[224],[1],[14],1.0,114286,[32],0,Madden NFL 20,268.2446757843507,217.0,0.0,0.0,"[169442, 169443, 169444]","[701, 102122, 102805, 103218, 103275, 109606, 114287, 116352, 116353, 121435]",madden-nfl-20,0,"Feel like an NFL Superstar in Madden NFL 20. Be the Face of an NFL franchise where the decisions you make matter in your journey to become an NFL Superstar in ‘FACE OF THE FRANCHISE: QB1’. Feel the emotion, personality, and power of NFL Superstars with ‘SUPERSTAR X-FACTOR’, an all-new abilities progression system that reveals special abilities for today’s most exciting NFL Superstars heightening the level strategy and excitement in every game.","[32, 268435470, 536870944]",[32],0.0,75.5,9.0,https://www.igdb.com/games/madden-nfl-20
19,0,0.0,0.0,0,0,0,0,0.0,0.0,0,[1],"[13, 15]",30.0,79134,0,[7911],Ancient Cities,265.3471104922768,1.0,0.0,0.0,0,"[18623, 23345, 28244, 36258, 36553, 51577, 55036, 65827, 102163, 112754]",ancient-cities,"Starting in with a nomadic tribe you will have to guide your people through the Neolithic revolution, discovering and improving technologies, managing resources and population, facing enemies, and ultimately, building the most fantastic city of the antiquity.","Ancient Citiesis a Survival and Strategy City Builder PC game through the ages, strongly focused on history and realism. Currently being developed by Uncasual Games. 
 
Starting in the Neolithic era, you will have to guide your people through generations, discovering and improving technologies, managing resources and population, facing threats from raiders and Mother Nature herself. And, ultimately, building the most fantastic city of antiquity through the ages in a fully simulated world and ecosystem.","[22, 268435469, 268435471]",[22],0.0,0.0,0.0,https://www.igdb.com/games/ancient-cities
20,"[25535, 25536]",65.0,2.0,0,0,0,0,1495497600.0,0.0,0,[1],"[12, 13, 15, 31, 32]",3.0,26145,"[69, 1148]",0,Impact Winter,263.7616873753963,14.0,68.6561679790026,6.0,"[67745, 149495, 149496]","[17379, 18623, 25311, 26574, 29348, 31515, 35994, 44076, 109339, 113402]",impact-winter,0,"In 30 days, help is coming...       
       
A mysterious radio transmission claims that help is inbound. You are Jacob Solomon: leader of a makeshift team trying to survive the aftermath of a devastating asteroid collision.  The world you once knew is no more – buried deep beneath the constant snowfall.       
       
Your goal: keep your companions alive until rescue.","[21, 268435468, 268435469, 268435471, 268435487, 268435488, 536870981, 536872060]",[21],0.0,66.8280839895013,8.0,https://www.igdb.com/games/impact-winter
21,0,78.75,9.0,"[5155, 5156]",0,0,0,1526342400.0,0.0,0,[1],"[12, 31, 32]",3.0,80916,"[296, 1033]",0,Omensight,262.399800050369,20.0,62.8571428571429,6.0,"[161838, 161839, 161840]","[25311, 28309, 30245, 36198, 47823, 55199, 81680, 96217, 105049, 111130]",omensight,0,"You are the Harbinger, a skilled warrior who exists outside of time. You have foreseen the annihilation of the land known as Urralia and have been summoned to rewrite its fate. With the power to witness and alter the last moments of Urralia’s inhabitants, it’s up to you to weave a new narrative, pave the way to a brighter future, and give the world of Urralia a second chance.","[1, 268435468, 268435487, 268435488, 536871208, 536871945]",[1],0.0,70.80357142857144,15.0,https://www.igdb.com/games/omensight
22,0,0.0,0.0,0,0,0,0,1467849600.0,0.0,0,[1],"[12, 13, 32]",3.0,16309,"[847, 1991, 2146, 2147]",0,A Life in Silk - The First Cumming,259.7858020498653,2.0,81.11111111111111,9.0,"[53289, 53290]","[9655, 19809, 22472, 25311, 26145, 28465, 43097, 51991, 81680, 109339]",a-life-in-silk-the-first-cumming,"A Life in Silk is a highly-interactive visual-novel, that tells the story of a feminine sissy boy, who just recently turned 18 and dreams only of becoming a glamorous T-girl Goddess and rule the Big City with his beauty and never ending sexual appetite.

But while stuck in a small suburban town with his single but very libertine Mommy, he knows that to reach his expensive dream of perfect feminine transformation, he will need to seduce as many Sugar Daddies as he can with his advanced oral skills and erotically charge fashion sense, in hopes they will sponsor his transformation.","A Life in Silk is a highly-interactive visual-novel, that tells the story of a feminine sissy boy, who just recently turned 18 and dreams only of becoming a glamorous T-girl Goddess and rule the Big City with his beauty and never ending sexual appetite.

But while stuck in a small suburban town with his single but very libertine Mommy, he knows that to reach his expensive dream of perfect feminine transformation, he will need to seduce as many Sugar Daddies as he can with his advanced oral skills and erotically charge fashion sense, in hopes they will sponsor his transformation.","[27, 42, 268435468, 268435469, 268435488, 536871759, 536872903, 536873058, 536873059]","[27, 42]",0.0,81.11111111111111,9.0,https://www.igdb.com/games/a-life-in-silk-the-first-cumming
23,0,69.75,4.0,"[5378, 5379, 5380, 5381]",0,"[124805, 124876]",[116143],1537401600.0,0.0,0,"[1, 2]","[12, 13, 15, 31, 32]",5.0,25311,0,0,Star Control: Origins,258.1899806880469,77.0,73.7813535257927,6.0,[157495],"[26145, 26574, 35994, 37419, 80916, 81680, 96217, 105269, 107169, 109339]",star-control-origins,0,"The Earthlings have joined the interstellar club. The galaxy will never be the same.

The year is 2086 and Earth has detected an alien distress call originating from the surface of Triton. In response, Star Control is formed with you as The Captain of Earth's first prototype starship.","[1, 18, 268435468, 268435469, 268435471, 268435487, 268435488]","[1, 18]",0.0,71.76567676289635,10.0,https://www.igdb.com/games/star-control-origins
24,"[25267, 25437]",70.7,12.0,"[1429, 1430, 1431, 1432, 1433, 1434, 1435, 7672]",0,0,0,1568073600.0,0.0,0,[1],"[12, 15, 31]",79.0,27092,"[296, 1026, 3782, 4357, 4513]",0,GreedFall,257.7688628053144,130.0,75.3340516549444,17.0,"[171890, 171891, 171892]","[7615, 19404, 26574, 28182, 28309, 30245, 35994, 36198, 55199, 80916]",greedfall,0,"Explore a fresh new world as you set foot - alongside many other settlers, mercenaries and treasure hunters - on a remote island seeping with magic, rumored to be filled with riches and lost secrets. 
 
GreedFall aims for a very unique visual identity, inspired by Baroque art from 17th Century Europe, depicting grandiose sceneries in muted warm colors and dark undertones. 
 
A grand journey filled with mystery follows, as you find yourself in the middle of ever-increasing tensions between the invading settlers and the locals, protected by supernatural beings, manifestation of the island's earthly magic. 
 
With a strong focus on its core RPG identity, GreedFall follows Spiders’ experience in building intricate worlds filled with mysteries to discover, weaving deep character interactions, and offering players great freedom to achieve quests and objectives in a multitude of different ways – through combat of course, but also through diplomacy, deception or stealth.","[1, 43, 268435468, 268435471, 268435487, 536871208, 536871938, 536874694, 536875269, 536875425]","[1, 43]",0.0,73.0170258274722,29.0,https://www.igdb.com/games/greedfall
25,0,0.0,0.0,"[5210, 5211]",0,0,0,1609372800.0,0.0,0,"[1, 5]","[12, 31]",19.0,106987,0,0,Torchlight Frontiers,255.3170767889443,27.0,0.0,0.0,"[179891, 179892, 179893]","[55199, 75379, 81249, 96217, 101608, 103303, 105049, 115278, 116530, 119171]",torchlight-frontiers,0,"Set in the same beloved universe as Torchlight I and II, this shared-world action-RPG brings back many of the franchise’s signature features and mechanics that captured the hearts of ARPG fans around the world. Led by former Runic Games and Blizzard North co-founder, Max Schaefer, the team developing Torchlight Frontiers is comprised of veteran developers who were responsible for the games that defined the ARPG genre, including the original Diablo and Torchlight franchises. 
 
Torchlight Frontiers combines the heart of the beloved Torchlight series with a shared, persistent and dynamically generated world. In true Torchlight style, players will team up with friends and devoted pets to hack and slack their way through a vibrant world, discover ancient ruins of lost civilizations and brave dungeons filled with riches and dangerous creatures.","[1, 17, 268435468, 268435487]","[1, 17]",0.0,0.0,0.0,https://www.igdb.com/games/torchlight-frontiers
26,0,0.0,0.0,0,0,0,0,1391385600.0,0.0,0,[1],"[13, 15, 32]",0.0,17130,"[970, 1148, 4134]",0,Unclaimed World,253.0640105356855,0.0,50.0,0.0,[45626],"[13200, 17111, 17519, 18623, 24620, 25311, 29173, 31515, 34823, 55590]",unclaimed-world,0,"We take the colony sim genre into the near future, onto a lush planet where humans are making their first foothold. Characters and alien wildlife are brought to life through a rigorous simulation and the game plays out as a tug-of-war between humans and nature on a planet full of opportunities and dangers. 
Understanding the alien environment is crucial - discovered resources and crafting options enable you to adapt when food gets scarce, equipment breaks and alien animals attack.","[18, 268435469, 268435471, 268435488, 536871882, 536872060, 536875046]",[18],0.0,50.0,0.0,https://www.igdb.com/games/unclaimed-world
27,0,0.0,0.0,[5521],0,0,0,1565222400.0,0.0,0,[1],"[31, 32]",1.0,111130,0,0,Apsulov: End of Gods,248.606645185806,0.0,70.0,2.0,[173567],"[29783, 37419, 81275, 87622, 96217, 103295, 105269, 113360, 113895, 115785]",apsulov-end-of-gods,0,"You awake in a sanctuary of steel and concrete, built to honor the Nordic Gods and to house an artifact, buried in the earth aeons ago. Unveil the secrets of the inhabitants, the artifact, and the nine realms of Yggdrasil in Apsulov: End of Gods.","[1, 268435487, 268435488]",[1],0.0,70.0,2.0,https://www.igdb.com/games/apsulov-end-of-gods
28,0,0.0,0.0,0,0,0,0,1559779200.0,0.0,0,[1],"[13, 32]",84.0,38967,"[101, 758, 1511, 2424]",0,Cooking Simulator,242.8120702309627,3.0,80.8982630006811,19.0,[170914],"[27744, 28277, 28465, 31515, 37419, 44242, 51577, 55888, 65827, 109339]",cooking-simulator,0,"Experience the world of restaurant cooking in a highly polished, realistic kitchen. Use ovens, gas stands, pots, pans, bowls and plates, everything you need. Prepare dozens of lifelike ingredients - from vegetables through fish to steaks and poultry - to cook over thirty real dishes, or anything you like.","[32, 268435469, 268435488, 536871013, 536871670, 536872423, 536873336]",[32],0.0,80.8982630006811,19.0,https://www.igdb.com/games/cooking-simulator
29,0,0.0,0.0,0,0,0,0,1550793600.0,0.0,0,"[1, 2, 3]","[15, 31, 32]",21.0,114455,"[131, 135, 1120, 1473, 1836, 2653, 2938, 3747]","[9232, 9481]",Pacify,241.7056492130481,0.0,74.8095730536268,32.0,"[164848, 164849]","[11668, 13189, 18020, 18225, 19817, 25311, 25646, 35994, 56033, 111130]",pacify,"You just signed on with PAH Inc. Paranormal Activity Helpers Incorporated, yeah sounds corny, but the pay is great. They said you won't ever be in any real danger, and they have tons of work right now. Your first job is at some old haunted house. There is a broker wanting to put the house for sale, but with everyone in the town spreading rumors of evil living inside the house, he needs some proof that it is safe. He actually seems creeped out himself. Anyway, he hired PAH Inc. to check the place out. You can go check it out alone if you'd like, but I would take at least 3 more friends with me. Check the place out, and if there is anything supernatural going on, try to bring evidence back to PAH Inc.","An indie, multiplayer, horror game with fast paced game play for up to 4 players. Teams will need to explore an eerie mansion with a rumored past of funeral services including contacting deceased loved ones. A scary girl roams the house, and players need to keep her pacified to survive.","[1, 19, 268435471, 268435487, 268435488, 536871043, 536871047, 536872032, 536872385, 536872748, 536873565, 536873850, 536874659]","[1, 19]",0.0,74.8095730536268,32.0,https://www.igdb.com/games/pacify
30,[22565],0.0,0.0,0,0,0,0,1530144000.0,0.0,0,[1],"[8, 9, 31, 32]",1.0,56033,"[117, 296, 1027, 1120, 2049, 2875, 4134, 4154]",0,Dream Alone,241.2519923585048,2.0,82.0,0.0,"[154752, 154753]","[18011, 19150, 20342, 24426, 25646, 26226, 36198, 54678, 55173, 55190]",dream-alone,0,"2D platform game with classic platform gameplay, deadly traps, dark storyline and unique hero abilities, all in Tim Burton's-like audio-visual.","[1, 19, 268435464, 268435465, 268435487, 268435488, 536871029, 536871208, 536871939, 536872032, 536872961, 536873787, 536875046, 536875066]","[1, 19]",0.0,82.0,0.0,https://www.igdb.com/games/dream-alone
