dlcs,expansions,id,keywords,release_dates,similar_games,tags
0,0,55190,"[117, 2049, 2875, 4134, 4154]","[164153, 164154]","[19150, 20329, 20342, 24426, 26226, 28070, 36198, 55173, 56033, 116681]","[1, 268435464, 268435465, 268435487, 268435488, 536871029, 536872961, 536873787, 536875046, 536875066]"
0,0,114286,[32],"[169442, 169443, 169444]","[701, 102122, 102805, 103218, 103275, 109606, 114287, 116352, 116353, 121435]","[32, 268435470, 536870944]"
0,0,79134,0,0,"[18623, 23345, 28244, 36258, 36553, 51577, 55036, 65827, 102163, 112754]","[22, 268435469, 268435471]"
0,0,26145,"[69, 1148]","[67745, 149495, 149496]","[17379, 18623, 25311, 26574, 29348, 31515, 35994, 44076, 109339, 113402]","[21, 268435468, 268435469, 268435471, 268435487, 268435488, 536870981, 536872060]"
0,0,80916,"[296, 1033]","[161838, 161839, 161840]","[25311, 28309, 30245, 36198, 47823, 55199, 81680, 96217, 105049, 111130]","[1, 268435468, 268435487, 268435488, 536871208, 536871945]"
0,0,16309,"[847, 1991, 2146, 2147]","[53289, 53290]","[9655, 19809, 22472, 25311, 26145, 28465, 43097, 51991, 81680, 109339]","[27, 42, 268435468, 268435469, 268435488, 536871759, 536872903, 536873058, 536873059]"
"[124805, 124876]",[116143],25311,0,[157495],"[26145, 26574, 35994, 37419, 80916, 81680, 96217, 105269, 107169, 109339]","[1, 18, 268435468, 268435469, 268435471, 268435487, 268435488]"
0,0,27092,"[296, 1026, 3782, 4357, 4513]","[171890, 171891, 171892]","[7615, 19404, 26574, 28182, 28309, 30245, 35994, 36198, 55199, 80916]","[1, 43, 268435468, 268435471, 268435487, 536871208, 536871938, 536874694, 536875269, 536875425]"
0,0,106987,0,"[179891, 179892, 179893]","[55199, 75379, 81249, 96217, 101608, 103303, 105049, 115278, 116530, 119171]","[1, 17, 268435468, 268435487]"
0,0,17130,"[970, 1148, 4134]",[45626],"[13200, 17111, 17519, 18623, 24620, 25311, 29173, 31515, 34823, 55590]","[18, 268435469, 268435471, 268435488, 536871882, 536872060, 536875046]"
0,0,111130,0,[173567],"[29783, 37419, 81275, 87622, 96217, 103295, 105269, 113360, 113895, 115785]","[1, 268435487, 268435488]"
0,0,38967,"[101, 758, 1511, 2424]",[170914],"[27744, 28277, 28465, 31515, 37419, 44242, 51577, 55888, 65827, 109339]","[32, 268435469, 268435488, 536871013, 536871670, 536872423, 536873336]"
0,0,114455,"[131, 135, 1120, 1473, 1836, 2653, 2938, 3747]","[164848, 164849]","[11668, 13189, 18020, 18225, 19817, 25311, 25646, 35994, 56033, 111130]","[1, 19, 268435471, 268435487, 268435488, 536871043, 536871047, 536872032, 536872385, 536872748, 536873565, 536873850, 536874659]"
0,0,56033,"[117, 296, 1027, 1120, 2049, 2875, 4134, 4154]","[154752, 154753]","[18011, 19150, 20342, 24426, 25646, 26226, 36198, 54678, 55173, 55190]","[1, 19, 268435464, 268435465, 268435487, 268435488, 536871029, 536871208, 536871939, 536872032, 536872961, 536873787, 536875046, 536875066]"
0,0,55199,"[296, 537, 1026]",[162428],"[28309, 30245, 54775, 55038, 80916, 81249, 96217, 101608, 106987, 119171]","[1, 17, 268435468, 268435487, 536871208, 536871449, 536871938]"
0,0,55984,0,"[177114, 177115, 177116, 177117, 179086]","[81249, 96217, 101608, 103266, 106987, 109274, 113360, 116530, 116559, 119171]","[1, 17, 20, 31, 43, 268435487]"
0,0,37419,0,[85498],"[25311, 28277, 76263, 81680, 87975, 96217, 103295, 105011, 111130, 113895]","[1, 268435469, 268435487, 268435488]"
0,[22465],19785,"[78, 343, 358, 847, 1148, 1484, 1714, 1961, 1991, 2071, 2470, 3586, 4369, 4644, 4907, 4921, 5394, 8733, 8803, 9282, 10748]",[52978],"[19808, 19809, 22421, 22422, 22423, 22469, 22471, 22472, 67166, 68049]","[42, 268435469, 536870990, 536871255, 536871270, 536871759, 536872060, 536872396, 536872626, 536872873, 536872903, 536872983, 536873382, 536874498, 536875281, 536875556, 536875819, 536875833, 536876306, 536879645, 536879715, 536880194, 536881660]"
0,0,18623,"[151, 1148]","[49359, 118544]","[17130, 17519, 23345, 29173, 31515, 36269, 36553, 55590, 79134, 102163]","[22, 268435469, 268435471, 268435488, 536871063, 536872060]"
0,0,35994,"[69, 1026, 1027]","[82594, 165947]","[17548, 25311, 26145, 26574, 28309, 29348, 37419, 81680, 96217, 109339]","[1, 268435468, 268435469, 268435471, 268435487, 268435488, 536870981, 536871938, 536871939]"
0,0,28465,"[1961, 3586]",[69074],"[19075, 22472, 27301, 41895, 43097, 43130, 51991, 68049, 75797, 103232]","[42, 268435469, 268435488, 536872873, 536874498]"
0,0,9789,"[9, 426, 970, 994, 1148, 1471, 1905, 3782, 4261, 5836]","[160281, 160282, 160283]","[11666, 13200, 17111, 17130, 29173, 31480, 31515, 34823, 36346, 55590]","[18, 268435467, 268435469, 268435471, 268435488, 536870921, 536871338, 536871882, 536871906, 536872060, 536872383, 536872817, 536874694, 536875173, 536876748]"
0,0,67166,"[343, 740, 1714, 1961, 1991, 3586, 4369, 8733]",[136667],"[19075, 19785, 19808, 19809, 22426, 22471, 22472, 28465, 41895, 68049]","[42, 268435469, 536871255, 536871652, 536872626, 536872873, 536872903, 536874498, 536875281, 536879645]"
0,0,28168,"[69, 296, 905, 1026, 1033, 1513, 3208, 4131, 4224, 4357]","[171074, 171075, 171076]","[11169, 27092, 28309, 30245, 36198, 47823, 55038, 55092, 55199, 80916]","[1, 17, 268435468, 268435487, 536870981, 536871208, 536871817, 536871938, 536871945, 536872425, 536874120, 536875043, 536875136, 536875269]"
0,0,28309,"[296, 1026, 1027, 1033]","[154621, 166793]","[10776, 17548, 29348, 30245, 35994, 36198, 47823, 55199, 80916, 96217]","[1, 268435468, 268435487, 268435488, 536871208, 536871938, 536871939, 536871945]"
0,0,23733,"[117, 296, 1033, 1953, 4134, 4154, 4162, 4224, 4882]","[179912, 179913, 179914, 179915]","[18869, 19150, 22387, 26226, 36198, 47823, 55092, 55190, 56033, 80916]","[1, 17, 268435487, 268435488, 536871029, 536871208, 536871945, 536872865, 536875046, 536875066, 536875074, 536875136, 536875794]"
0,0,110737,"[131, 218, 2396, 3257]",[160421],"[13189, 19817, 25646, 27266, 36815, 55282, 68271, 99307, 109550, 114455]","[19, 268435488, 536871043, 536871130, 536873308, 536874169]"
0,0,24426,"[296, 1027, 2049, 2875, 2889]","[152471, 152472, 152473, 160674, 160675, 171948]","[19150, 20342, 25222, 28070, 55173, 55190, 56033, 77529, 96217, 116681]","[1, 17, 268435464, 268435465, 268435487, 268435488, 536871208, 536871939, 536872961, 536873787, 536873801]"
0,0,36553,"[151, 3782]",[83692],"[18623, 23345, 29173, 36269, 51577, 55036, 55590, 65827, 79134, 102163]","[22, 268435469, 268435471, 268435488, 536871063, 536874694]"
0,0,41895,"[343, 1027, 1961, 3586]",[88608],"[22426, 22472, 22482, 27301, 28465, 43097, 43130, 51991, 68049, 103232]","[42, 268435469, 268435487, 268435488, 536871255, 536871939, 536872873, 536874498]"
0,0,22426,"[343, 847, 1961, 3586]",[54960],"[22472, 22482, 22490, 41895, 43130, 59048, 59218, 68049, 75797, 75900]","[42, 268435487, 536871255, 536871759, 536872873, 536874498]"
0,0,19404,"[296, 1026, 3782]",[175091],"[7615, 9472, 26574, 26845, 27092, 28182, 28309, 29348, 55199, 96217]","[17, 268435468, 268435471, 268435488, 536871208, 536871938, 536874694]"
0,0,3772,"[25, 28, 155, 160, 357, 566, 650, 778, 1783, 3425, 3627, 4154, 4157, 4205, 4224, 4803, 4880, 5453, 9297, 9536]","[160114, 172154, 172155]","[14363, 22387, 23733, 25311, 26709, 36198, 37419, 81680, 105011, 118871]","[1, 268435466, 268435469, 268435470, 268435488, 536870937, 536870940, 536871067, 536871072, 536871269, 536871478, 536871562, 536871690, 536872695, 536874337, 536874539, 536875066, 536875069, 536875117, 536875136, 536875715, 536875792, 536876365, 536880209, 536880448]"
0,0,18225,"[1120, 1295, 1459]","[169915, 169916, 169917, 175737]","[11737, 13189, 19817, 25646, 55984, 81249, 102584, 107614, 114455, 116530]","[1, 19, 38, 43, 268435487, 536872032, 536872207, 536872371]"
0,0,113895,0,[167144],"[32902, 37419, 40524, 43367, 96217, 103295, 105233, 111130, 119121, 119493]","[1, 268435488]"
0,0,19564,"[189, 4883, 8726, 9031, 12087, 12618, 14051, 15074, 16809, 16811]","[170249, 178484]","[19164, 19565, 26192, 26950, 55038, 76882, 105049, 105269, 107318, 118218]","[1, 18, 23, 38, 268435461, 268435487, 536871101, 536875795, 536879638, 536879943, 536882999, 536883530, 536884963, 536885986, 536887721, 536887723]"
0,0,81680,[959],[173103],"[25311, 35994, 37419, 80916, 94772, 96217, 105011, 105049, 106987, 111130]","[1, 268435468, 268435469, 268435487, 268435488, 536871871]"
0,0,23345,"[151, 649, 3782]",[76164],"[18623, 29173, 36269, 36553, 55036, 55590, 65827, 79134, 102163, 109339]","[22, 268435469, 268435471, 268435488, 536871063, 536871561, 536874694]"
[121765],0,55036,"[994, 3782]",[164136],"[17613, 18623, 23345, 29173, 31515, 36346, 36553, 55590, 79134, 102163]","[22, 268435469, 268435471, 536871906, 536874694]"
0,0,29173,"[994, 1148, 3782]","[84746, 84747, 84748]","[17519, 31515, 33646, 34823, 35463, 36269, 36346, 55036, 55590, 55689]","[268435469, 268435471, 268435488, 536871906, 536872060, 536874694]"
0,0,117665,0,0,"[19075, 22483, 28129, 28465, 77745, 77884, 101573, 110779, 115734, 119119]","[42, 268435469]"
0,0,28070,[1697],"[156431, 156432, 156433, 156434]","[24426, 25646, 29032, 55190, 77529, 96217, 110503, 111130, 113360, 116681]","[1, 17, 268435464, 268435465, 268435487, 268435488, 536872609]"
0,0,115737,"[2619, 3586]",0,"[19075, 28465, 32688, 75900, 115734, 115735, 115739, 115740, 115741, 115742]","[42, 536873531, 536874498]"
0,0,25646,[1120],"[88182, 88183, 109361, 119942, 123364, 134642]","[11668, 13189, 18011, 19817, 27266, 37419, 56033, 68271, 106992, 111130]","[1, 19, 268435465, 268435487, 268435488, 536872032]"
0,0,113360,0,"[162130, 162131]","[28070, 29032, 37419, 47823, 96217, 103295, 105269, 106987, 111130, 116681]","[1, 17, 33, 268435487, 268435488]"
0,0,25222,"[1027, 2875]","[59718, 59719, 147540]","[13189, 18011, 20342, 24426, 26223, 27266, 27725, 55190, 106992, 109129]","[268435458, 268435465, 268435487, 268435488, 536871939, 536873787]"
0,0,116353,0,[166524],"[14733, 47366, 109606, 115869, 116343, 116349, 116350, 116351, 116352, 120795]",[268435470]
0,0,55590,"[994, 1148, 3782]",[112426],"[17519, 29173, 31515, 33646, 34823, 35463, 36269, 36346, 55036, 55689]","[268435469, 268435471, 268435488, 536871906, 536872060, 536874694]"
0,0,105269,0,"[162671, 162672, 162673]","[25311, 26950, 37419, 43367, 55038, 96217, 103292, 105049, 107318, 111130]","[1, 18, 268435461, 268435487, 268435488]"
0,0,109339,0,"[158372, 158749, 158750]","[25311, 26145, 26574, 28277, 35994, 37419, 51577, 65827, 81680, 113402]","[268435468, 268435469, 268435471, 268435487, 268435488]"
0,0,31515,"[994, 1148]",[74803],"[17519, 18623, 29173, 32457, 35463, 36269, 36346, 55590, 55689, 65827]","[268435469, 268435471, 268435488, 536871906, 536872060]"
0,0,37138,"[78, 94, 164, 221, 227, 253, 343, 350, 358, 415, 558, 847, 1107, 1714, 1961, 2458, 3782, 4155, 4169, 4249, 4369, 4392, 4426, 4444, 4560, 4983, 6029, 6070, 6385, 6486, 7095, 7157, 7296, 8888, 8929, 9557, 9749]",[83936],"[7213, 15830, 19785, 22422, 22469, 22490, 59048, 59218, 67166, 68049]","[17, 22, 27, 42, 268435471, 536870990, 536871006, 536871076, 536871133, 536871139, 536871165, 536871255, 536871262, 536871270, 536871327, 536871470, 536871759, 536872019, 536872626, 536872873, 536873370, 536874694, 536875067, 536875081, 536875161, 536875281, 536875304, 536875338, 536875356, 536875472, 536875895, 536876941, 536876982, 536877297, 536877398, 536878007, 536878069, 536878208, 536879800, 536879841, 536880469, 536880661]"
0,0,26163,0,0,"[37382, 43097, 47823, 81249, 96217, 106987, 113360, 115653, 116530, 116681]","[17, 38, 42, 43, 268435468, 268435487, 268435488]"
0,0,54775,[296],"[155679, 157999, 158000, 158001, 158002, 158003, 158004]","[23651, 28010, 55199, 81249, 96217, 101608, 103168, 103303, 106987, 115278]","[1, 17, 268435468, 536871208]"
0,0,47823,"[296, 900, 1033]","[93184, 176694, 176695]","[10776, 28309, 30245, 36198, 54775, 55199, 80916, 96217, 106987, 113360]","[1, 17, 33, 268435468, 268435487, 268435488, 536871208, 536871812, 536871945]"
0,0,55029,"[1471, 1905]",[179057],"[6985, 8773, 9856, 10243, 28794, 30229, 55056, 77334, 78550, 106112]","[22, 39, 268435467, 268435471, 536872383, 536872817]"
0,0,80809,[94],[132902],"[25572, 27301, 28465, 75336, 77745, 77884, 90825, 92919, 111833, 113895]","[42, 268435488, 536871006]"
0,0,116681,0,[167226],"[24426, 25646, 28070, 29032, 55190, 81249, 96217, 110503, 111130, 113360]","[1, 17, 38, 268435464, 268435465, 268435487, 268435488]"
0,0,26950,"[14, 2387]","[171030, 171031, 171032]","[19164, 55038, 96217, 103276, 103292, 105049, 105269, 106987, 107318, 113360]","[1, 17, 18, 268435461, 268435487, 536870926, 536873299]"
0,0,22425,"[343, 847, 1027, 1148, 4359]","[114078, 114116]","[22426, 22470, 22472, 22482, 22483, 22490, 41895, 59048, 59218, 68049]","[42, 268435469, 268435487, 536871255, 536871759, 536871939, 536872060, 536875271]"
"[113990, 124963]",0,14394,"[96, 151, 227, 296, 415, 416, 1026, 1320, 1980, 2561, 3782, 4248, 4419, 4460, 5323, 6000]","[67497, 118868]","[2365, 7615, 10297, 10388, 19404, 22387, 26574, 26940, 28182, 36553]","[17, 22, 38, 41, 268435468, 268435471, 268435472, 268435480, 268435488, 536871008, 536871063, 536871139, 536871208, 536871327, 536871328, 536871938, 536872232, 536872892, 536873473, 536874694, 536875160, 536875331, 536875372, 536876235, 536876912]"
0,"[12503, 13166]",1942,"[129, 151, 227, 296, 537, 592, 617, 623, 665, 770, 823, 1026, 1033, 1098, 1181, 1293, 1381, 1507, 1737, 2066, 2071, 2112, 2242, 2337, 2414, 2472, 2513, 2668, 3794, 3901, 3910, 4184, 4198, 4218, 4276, 4287, 4316, 4319, 4332, 4347, 4352, 4353, 4357, 4394, 4418, 4508, 4520, 4548, 4552, 4573, 4576, 4588, 4591, 4615, 4619, 4628, 4637, 4745, 4753, 4756, 4763, 4843, 4848, 4852, 4869, 4878, 4880, 4896, 4907, 5029, 5150, 5286, 5298, 5318, 5351, 5362, 5365, 5367, 5369, 5374, 5391, 5422, 5427, 5460, 5502, 5504, 5616, 5646, 5650, 5705, 5708, 5709, 5771, 5788, 5795, 5852, 5902, 5978, 6068, 6120, 6128, 6196, 6214, 6415, 6430, 6478, 6653, 6657, 6668, 6681, 6683, 6685, 6688, 6858, 6904, 7078, 7143, 7379, 7416, 7470, 7659, 7664, 8193, 8194, 8195, 8196, 8197, 8198, 8199, 8200, 8201, 8202, 15075, 15076, 16826, 16828, 16894, 18730, 19424, 19425, 19426]","[23743, 23744, 23745]","[121, 472, 533, 1334, 1593, 1887, 3025, 5867, 9938, 15409]","[1, 17, 22, 38, 268435468, 268435487, 536871041, 536871063, 536871139, 536871208, 536871449, 536871504, 536871529, 536871535, 536871577, 536871682, 536871735, 536871938, 536871945, 536872010, 536872093, 536872205, 536872293, 536872419, 536872649, 536872978, 536872983, 536873024, 536873154, 536873249, 536873326, 536873384, 536873425, 536873580, 536874706, 536874813, 536874822, 536875096, 536875110, 536875130, 536875188, 536875199, 536875228, 536875231, 536875244, 536875259, 536875264, 536875265, 536875269, 536875306, 536875330, 536875420, 536875432, 536875460, 536875464, 536875485, 536875488, 536875500, 536875503, 536875527, 536875531, 536875540, 536875549, 536875657, 536875665, 536875668, 536875675, 536875755, 536875760, 536875764, 536875781, 536875790, 536875792, 536875808, 536875819, 536875941, 536876062, 536876198, 536876210, 536876230, 536876263, 536876274, 536876277, 536876279, 536876281, 536876286, 536876303, 536876334, 536876339, 536876372, 536876414, 536876416, 536876528, 536876558, 536876562, 536876617, 536876620, 536876621, 536876683, 536876700, 536876707, 536876764, 536876814, 536876890, 536876980, 536877032, 536877040, 536877108, 536877126, 536877327, 536877342, 536877390, 536877565, 536877569, 536877580, 536877593, 536877595, 536877597, 536877600, 536877770, 536877816, 536877990, 536878055, 536878291, 536878328, 536878382, 536878571, 536878576, 536879105, 536879106, 536879107, 536879108, 536879109, 536879110, 536879111, 536879112, 536879113, 536879114, 536885987, 536885988, 536887738, 536887740, 536887806, 536889642, 536890336, 536890337, 536890338]"
0,0,17379,"[5, 69, 510, 546, 1025, 1033, 1148, 4871, 4895]",[161635],"[9243, 9552, 10776, 13210, 24765, 25311, 26145, 26574, 35994, 44076]","[1, 21, 33, 38, 268435461, 268435468, 268435469, 268435471, 268435487, 268435488, 536870917, 536870981, 536871422, 536871458, 536871937, 536871945, 536872060, 536875783, 536875807]"
0,0,103232,"[1961, 3586]",[158165],"[19075, 22426, 28465, 41895, 43097, 43130, 51991, 54815, 75900, 76397]","[42, 268435468, 268435469, 268435471, 268435487, 536872873, 536874498]"
0,0,111187,0,"[160224, 160225]","[13934, 86477, 89550, 102057, 102058, 105269, 112886, 113114, 117197, 119305]",[18]
0,0,44242,[1148],[158215],"[9910, 17519, 18623, 27744, 29173, 31515, 32457, 36346, 55590, 117717]","[28, 32, 268435469, 536872060]"
0,0,59218,"[78, 94, 343, 847, 1027, 1961]",0,"[17906, 22425, 22426, 22482, 22490, 41895, 58814, 59046, 59048, 59173]","[42, 268435487, 536870990, 536871006, 536871255, 536871759, 536871939, 536872873]"
0,0,13200,"[970, 1148, 1905, 3782]","[38236, 125760, 125761, 136208]","[9789, 13660, 16806, 17130, 24620, 29173, 31515, 34823, 36269, 55590]","[18, 268435469, 268435471, 268435488, 536871882, 536872060, 536872817, 536874694]"
0,0,20342,"[1027, 1495, 2049, 2875, 4297]","[64626, 64627, 64628, 64629, 64630, 64631, 64632, 106428, 106429, 118703, 120305, 136399, 144408, 156458]","[18011, 24426, 25222, 28070, 55173, 55190, 56033, 77529, 89597, 116681]","[1, 268435464, 268435465, 268435487, 268435488, 536871939, 536872407, 536872961, 536873787, 536875209]"
0,0,660,"[129, 226, 227, 296, 301, 1026, 1320, 1735, 2910, 4130, 4257, 4284, 4392, 4394, 4425, 4460, 4468, 4525, 4543, 4605, 4613, 4826, 4848, 5374, 6074, 6608, 7619, 9086, 10097, 12392]","[2686, 2687, 119059, 120917]","[1911, 2365, 7027, 9938, 10297, 10388, 11231, 14394, 19133, 55199]","[1, 17, 268435468, 536871041, 536871138, 536871139, 536871208, 536871213, 536871938, 536872232, 536872647, 536873822, 536875042, 536875169, 536875196, 536875304, 536875306, 536875337, 536875372, 536875380, 536875437, 536875455, 536875517, 536875525, 536875738, 536875760, 536876286, 536876986, 536877520, 536878531, 536879998, 536881009, 536883304]"
0,0,19150,"[117, 296, 2049, 4134, 5632]","[148659, 148660, 148661, 148662]","[24426, 26226, 28309, 36198, 55173, 55190, 56033, 80916, 89597, 96217]","[1, 268435464, 268435468, 268435487, 268435488, 536871029, 536871208, 536872961, 536875046, 536876544]"
