,id,aggregated_rating,aggregated_rating_count,category,first_release_date,franchise,hypes,name,popularity,pulse_count,rating,rating_count,slug,storyline,summary,time_to_beat,total_rating,total_rating_count,url
10,26845,92.7777777777778,12.0,0,1564099200.0,769.0,19.0,Fire Emblem: Three Houses,362.5269925956771,440.0,90.2062660906238,21.0,fire-emblem-three-houses,"War is coming to the continent of Fódlan. 
 
Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?","Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?",,91.4920219342008,33.0,https://www.igdb.com/games/fire-emblem-three-houses
11,55038,45.3333333333333,3.0,0,1536278400.0,,4.0,Immortal: Unchained,324.8586437987169,25.0,62.6446280991736,7.0,immortal-unchained,,Immortal: Unchained is a souls-inspired third-person shooter/action RPG.,,53.98898071625345,10.0,https://www.igdb.com/games/immortal-unchained
12,22387,65.0,1.0,0,1516752000.0,,1.0,Legrand Legacy,313.0454929925696,10.0,83.24607329842931,8.0,legrand-legacy,,"LEGRAND LEGACY - TALE OF THE FATEBOUNDS 
LEGRAND LEGACY is a spiritual successor to some all-time favorite JRPGs with a fresh take on the classic turn-based combat. Explore a beautifully hand-drawn world riddled with fantastical creatures, devastating wars, and intriguing stories of personal redemption. Play our demo and discover why Legrand Legacy is the ""Most Promising Game"" of the year! 
 
THE STORY 
Mugna Feud, the great war between the Kingdoms of Fandor and Altea, puts Legrand in a chaotic state. You play as Finn, a young slave who wakes up without any memory of his past, yet soon discovers that he possesses mysterious powers beyond his control. Embark on an epic adventure in this sprawling fantasy universe and fight alongside the Fatebounds to bring peace back to Legrand and prevent the Second Coming! But be careful who you trust, everyone has a secret to hide… 
 
RELEASE INFO 
Legrand Legacy will be released for Windows on Steam and DRM-free in September 2017 
 
HIGHLIGHTS 
- A fully immersive experience with stunning FMV, fully rendered 3D cinematic, and epic original soundtrack 
- 3D models and original assets come together with gorgeously stylized hand-drawn 2D backgrounds 
- Action packed turn-based combat and tactical warfare scenarios that will test your wits and keep you on your toes 
- Recruit NPCs to rebuild your castle, play mini games, or go on rewarding side quests 
- Collect loot from slain enemies and craft items or sell them for money 
- Configure items and grimoire that characters can wield in combat, set combat formation, or review journal to track quests",,74.12303664921465,9.0,https://www.igdb.com/games/legrand-legacy
13,22472,,,0,1402617600.0,,,Artificial Academy 2,302.9167690581762,,77.93115741858679,22.0,artificial-academy-2,,"Artificial Academy 2 is an eroge high school social simulation, sequel of Artificial Academy. 
 
Create and play up to 25 students of varying gender, orientation with interaction abilities and personal inclinations. Make friends and lovers as the class competes for achievements in academics, athletics, popularity, and romance.",,77.93115741858679,22.0,https://www.igdb.com/games/artificial-academy-2
14,22490,,,0,1037318400.0,,,Suck My Dick or Die!,300.53495151190214,,,,suck-my-dick-or-die,"The anti-government guerrillas were fighting against the government in the country which was politically unrest.
There was an incident that a little girl was raped and murdered by the guerrillas in a small village.
Mr. Prosper, who is the commander of the military, advanced his men to this small village to hunt the guerrillas.
But the incident was all planned out by him, so that he could have a raping party for himself. The girls, who were suspicious as guerrillas, were arrested. That was the beginning of the insane raping party.",The game notoriously came to attention (aside from it's name) for being banned on Twitch.,,,,https://www.igdb.com/games/suck-my-dick-or-die
15,68049,,,0,,,2.0,The Maiden Rape Assault: Violent Semen Inferno,294.4212755565392,,,,the-maiden-rape-assault-violent-semen-inferno,,A rape-themed pornographic game in which the player character performs actions such as forcing himself sexually on a stranger on her wedding day.,,,,https://www.igdb.com/games/the-maiden-rape-assault-violent-semen-inferno
16,26574,,,0,1481587200.0,,,Force of Nature,283.819831449854,,60.0,2.0,force-of-nature,,"Force of Nature is an indie open world sandbox game with fighting, crafting, building and farming systems.",,60.0,2.0,https://www.igdb.com/games/force-of-nature
17,55190,74.8,6.0,0,1548288000.0,,1.0,Pikuniku,273.8169167306466,23.0,97.0,4.0,pikuniku,,"Pikuniku is an absurdly wonderful puzzle-exploration game that takes place in a strange but playful world where not everything is as happy as it seems. Help peculiar characters overcome struggles, uncover a deep state conspiracy, and start a fun little revolution in this delightful dystopian adventure!",,85.9,10.0,https://www.igdb.com/games/pikuniku
18,114286,75.5,9.0,0,1564704000.0,224.0,1.0,Madden NFL 20,268.2446757843507,217.0,,,madden-nfl-20,,"Feel like an NFL Superstar in Madden NFL 20. Be the Face of an NFL franchise where the decisions you make matter in your journey to become an NFL Superstar in ‘FACE OF THE FRANCHISE: QB1’. Feel the emotion, personality, and power of NFL Superstars with ‘SUPERSTAR X-FACTOR’, an all-new abilities progression system that reveals special abilities for today’s most exciting NFL Superstars heightening the level strategy and excitement in every game.",,75.5,9.0,https://www.igdb.com/games/madden-nfl-20
19,79134,,,0,,,30.0,Ancient Cities,265.3471104922768,1.0,,,ancient-cities,"Starting in with a nomadic tribe you will have to guide your people through the Neolithic revolution, discovering and improving technologies, managing resources and population, facing enemies, and ultimately, building the most fantastic city of the antiquity.","Ancient Citiesis a Survival and Strategy City Builder PC game through the ages, strongly focused on history and realism. Currently being developed by Uncasual Games. 
 
Starting in the Neolithic era, you will have to guide your people through generations, discovering and improving technologies, managing resources and population, facing threats from raiders and Mother Nature herself. And, ultimately, building the most fantastic city of antiquity through the ages in a fully simulated world and ecosystem.",,,,https://www.igdb.com/games/ancient-cities
20,26145,65.0,2.0,0,1495497600.0,,3.0,Impact Winter,263.7616873753963,14.0,68.6561679790026,6.0,impact-winter,,"In 30 days, help is coming...       
       
A mysterious radio transmission claims that help is inbound. You are Jacob Solomon: leader of a makeshift team trying to survive the aftermath of a devastating asteroid collision.  The world you once knew is no more – buried deep beneath the constant snowfall.       
       
Your goal: keep your companions alive until rescue.",,66.8280839895013,8.0,https://www.igdb.com/games/impact-winter
21,80916,78.75,9.0,0,1526342400.0,,3.0,Omensight,262.399800050369,20.0,62.8571428571429,6.0,omensight,,"You are the Harbinger, a skilled warrior who exists outside of time. You have foreseen the annihilation of the land known as Urralia and have been summoned to rewrite its fate. With the power to witness and alter the last moments of Urralia’s inhabitants, it’s up to you to weave a new narrative, pave the way to a brighter future, and give the world of Urralia a second chance.",,70.80357142857143,15.0,https://www.igdb.com/games/omensight
22,16309,,,0,1467849600.0,,3.0,A Life in Silk - The First Cumming,259.7858020498653,2.0,81.1111111111111,9.0,a-life-in-silk-the-first-cumming,"A Life in Silk is a highly-interactive visual-novel, that tells the story of a feminine sissy boy, who just recently turned 18 and dreams only of becoming a glamorous T-girl Goddess and rule the Big City with his beauty and never ending sexual appetite.

But while stuck in a small suburban town with his single but very libertine Mommy, he knows that to reach his expensive dream of perfect feminine transformation, he will need to seduce as many Sugar Daddies as he can with his advanced oral skills and erotically charge fashion sense, in hopes they will sponsor his transformation.","A Life in Silk is a highly-interactive visual-novel, that tells the story of a feminine sissy boy, who just recently turned 18 and dreams only of becoming a glamorous T-girl Goddess and rule the Big City with his beauty and never ending sexual appetite.

But while stuck in a small suburban town with his single but very libertine Mommy, he knows that to reach his expensive dream of perfect feminine transformation, he will need to seduce as many Sugar Daddies as he can with his advanced oral skills and erotically charge fashion sense, in hopes they will sponsor his transformation.",,81.1111111111111,9.0,https://www.igdb.com/games/a-life-in-silk-the-first-cumming
23,25311,69.75,4.0,0,1537401600.0,,5.0,Star Control: Origins,258.1899806880469,77.0,73.78135352579271,6.0,star-control-origins,,"The Earthlings have joined the interstellar club. The galaxy will never be the same.

The year is 2086 and Earth has detected an alien distress call originating from the surface of Triton. In response, Star Control is formed with you as The Captain of Earth's first prototype starship.",,71.76567676289635,10.0,https://www.igdb.com/games/star-control-origins
24,27092,70.7,12.0,0,1568073600.0,,79.0,GreedFall,257.7665328940177,130.0,75.37448856739209,18.0,greedfall,,"Explore a fresh new world as you set foot - alongside many other settlers, mercenaries and treasure hunters - on a remote island seeping with magic, rumored to be filled with riches and lost secrets. 
 
GreedFall aims for a very unique visual identity, inspired by Baroque art from 17th Century Europe, depicting grandiose sceneries in muted warm colors and dark undertones. 
 
A grand journey filled with mystery follows, as you find yourself in the middle of ever-increasing tensions between the invading settlers and the locals, protected by supernatural beings, manifestation of the island's earthly magic. 
 
With a strong focus on its core RPG identity, GreedFall follows Spiders’ experience in building intricate worlds filled with mysteries to discover, weaving deep character interactions, and offering players great freedom to achieve quests and objectives in a multitude of different ways – through combat of course, but also through diplomacy, deception or stealth.",,73.03724428369605,30.0,https://www.igdb.com/games/greedfall
25,106987,,,0,1609372800.0,,19.0,Torchlight Frontiers,255.31707678894432,27.0,,,torchlight-frontiers,,"Set in the same beloved universe as Torchlight I and II, this shared-world action-RPG brings back many of the franchise’s signature features and mechanics that captured the hearts of ARPG fans around the world. Led by former Runic Games and Blizzard North co-founder, Max Schaefer, the team developing Torchlight Frontiers is comprised of veteran developers who were responsible for the games that defined the ARPG genre, including the original Diablo and Torchlight franchises. 
 
Torchlight Frontiers combines the heart of the beloved Torchlight series with a shared, persistent and dynamically generated world. In true Torchlight style, players will team up with friends and devoted pets to hack and slack their way through a vibrant world, discover ancient ruins of lost civilizations and brave dungeons filled with riches and dangerous creatures.",,,,https://www.igdb.com/games/torchlight-frontiers
26,17130,,,0,1391385600.0,,,Unclaimed World,253.0640105356855,,50.0,0.0,unclaimed-world,,"We take the colony sim genre into the near future, onto a lush planet where humans are making their first foothold. Characters and alien wildlife are brought to life through a rigorous simulation and the game plays out as a tug-of-war between humans and nature on a planet full of opportunities and dangers. 
Understanding the alien environment is crucial - discovered resources and crafting options enable you to adapt when food gets scarce, equipment breaks and alien animals attack.",,50.0,0.0,https://www.igdb.com/games/unclaimed-world
27,111130,,,0,1565222400.0,,1.0,Apsulov: End of Gods,248.606645185806,,70.0,2.0,apsulov-end-of-gods,,"You awake in a sanctuary of steel and concrete, built to honor the Nordic Gods and to house an artifact, buried in the earth aeons ago. Unveil the secrets of the inhabitants, the artifact, and the nine realms of Yggdrasil in Apsulov: End of Gods.",,70.0,2.0,https://www.igdb.com/games/apsulov-end-of-gods
28,38967,,,0,1559779200.0,,84.0,Cooking Simulator,242.8120702309627,3.0,80.8982630006811,19.0,cooking-simulator,,"Experience the world of restaurant cooking in a highly polished, realistic kitchen. Use ovens, gas stands, pots, pans, bowls and plates, everything you need. Prepare dozens of lifelike ingredients - from vegetables through fish to steaks and poultry - to cook over thirty real dishes, or anything you like.",,80.8982630006811,19.0,https://www.igdb.com/games/cooking-simulator
29,114455,,,0,1550793600.0,,21.0,Pacify,241.7056492130481,,74.80957305362679,32.0,pacify,"You just signed on with PAH Inc. Paranormal Activity Helpers Incorporated, yeah sounds corny, but the pay is great. They said you won't ever be in any real danger, and they have tons of work right now. Your first job is at some old haunted house. There is a broker wanting to put the house for sale, but with everyone in the town spreading rumors of evil living inside the house, he needs some proof that it is safe. He actually seems creeped out himself. Anyway, he hired PAH Inc. to check the place out. You can go check it out alone if you'd like, but I would take at least 3 more friends with me. Check the place out, and if there is anything supernatural going on, try to bring evidence back to PAH Inc.","An indie, multiplayer, horror game with fast paced game play for up to 4 players. Teams will need to explore an eerie mansion with a rumored past of funeral services including contacting deceased loved ones. A scary girl roams the house, and players need to keep her pacified to survive.",,74.80957305362679,32.0,https://www.igdb.com/games/pacify
30,56033,,,0,1530144000.0,,1.0,Dream Alone,241.25199235850482,2.0,82.0,0.0,dream-alone,,"2D platform game with classic platform gameplay, deadly traps, dark storyline and unique hero abilities, all in Tim Burton's-like audio-visual.",,82.0,0.0,https://www.igdb.com/games/dream-alone
31,55199,67.0,3.0,0,1548892800.0,,1.0,Dragon: Marked for Death,239.46904621855302,54.0,83.0,1.0,dragon-marked-for-death,,"Dragon Marked For Death is a side-scrolling 2D action RPG that can played solo or with up to four players in local or online multiplayer. 
 
The playable characters in Dragon Marked for Death: Frontline Fighters are the Empress and Warrior. 
 
You play as the survivors of the Dragonblood Clan who set out to take revenge on the Kingdom of Medius, who destroyed their home and captured the Dragonblood Oracle, Amica. To obtain the power they need to enact their revenge, they forge a pact with the Astral Dragon Atruum. 
 
Use your newly acquired powers to take on quests from villagers and raise your status in the kingdom. How you perform in these quests can have a direct effect on the game's final outcome. 
 
Quests aren't all about defeating enemies, though. You'll guard a ship's passengers from monsters, search for hidden treasure, rescue a princess from a castle under siege, and a lot more! 
 
Choose from four playable characters (Empress, Warrior, Shinobi, or Witch) and defeat your enemies to gain experience and level up. You'll receive points as you level up that can increase your attack power, defense, agility, and other parameters. Customize your character in a way that best suits your individual playstyle! 
 
Team up with up to four players in co-op multiplayer action via local wireless, or go online with Nintendo Switch Online and use worldwide matchmaking system to play with adventurers all over the world. By strategizing and working together with your party, you'll be able to achieve even greater results and reap even better rewards! 
 
Get ready to experience the unique, dark fantasy world of the Dragonblood Clan in this intense 2D action-RPG!",,75.0,4.0,https://www.igdb.com/games/dragon-marked-for-death
32,55984,59.0,2.0,0,1572912000.0,1319.0,21.0,Blacksad: Under the Skin,238.3753103577507,32.0,50.0,2.0,blacksad-under-the-skin,"In 1950s New York, Joe Dunn, the owner of a humble boxing club is found hanged. At the same time, Robert Yale, his protege and greatest hope, is reported missing. Although overwhelmed by these terrible events, Joe Dunn’s daughter, Sonia, decides to continue working towards her father’s dreams: she takes over the boxing club and calls on John Blacksad to investigate this mysterious disappearance. It’s the eve of the fight of the year and the club, which is in serious financial difficulties, will not survive Robert’s withdrawal. The investigation will lead John Blacksad to the very heart of a world in which corruption reigns supreme.",BLACKSAD: Under the Skin - A dark corruption scandal in the heart of the New York City's underworld for charismatic detective John Blacksad!,,54.5,4.0,https://www.igdb.com/games/blacksad-under-the-skin
33,37419,,,0,1498867200.0,,,Dude Simulator,235.01168086867352,,81.37450199203191,25.0,dude-simulator,,Dude Simulator is an open world sandbox game. This is a life simulator. The main objective is to enjoy what you are doing.,,81.37450199203191,25.0,https://www.igdb.com/games/dude-simulator
34,19785,,,0,1196380800.0,,,Artificial Girl 3,234.9528210450803,,78.0,5.0,artificial-girl-3,,"Artificial Girl 3 is an eroge (hentai game) and is the sequel to Artificial Girl 2.

The gameplay involves being a guy and living a life with one or many girls (whose various characteristics are set by the player).

The game is considered by the playerbase to be one of Illusion's finest games.",,78.0,5.0,https://www.igdb.com/games/artificial-girl-3
35,18623,,,0,1458864000.0,,,Villagers,234.517154711663,,41.817180475267,7.0,villagers,,"Villagers is a beautifully illustrated and richly detailed town-building game where you build a thriving community using the people and resources around you. Success or failure depends on your ability to create a town that can grow and prosper, and overcome the harsh realities of medieval life!",,41.817180475267,7.0,https://www.igdb.com/games/villagers
36,35994,,,0,1422576000.0,,,Survivalist,228.34743060887217,,80.0,4.0,survivalist,,"It's one year after the collapse of civilization and self-centered hedge fund manager Joe Wheeler emerges from his specially constructed bunker in search of food. This is a huge open-world RPG where you have the freedom to play how you want - but your choices have consequences. Your aim is to find other survivors, gain their respect, and build a community. You'll scavenge for supplies, trade, plant crops, go on quests, face moral dilemmas, go to war, and uncover dark, terrible secrets!",,80.0,4.0,https://www.igdb.com/games/survivalist
37,28465,,,0,1493942400.0,,,Porno Studio Tycoon,224.7146622097741,,49.857676845040906,6.0,porno-studio-tycoon,,"Business simulator with rich economic model (markets with shortages and surpluses, websites with black hat SEO, etc.), flexible configuration of movie production, complex casting, two modes of shooting (fast and detailed ones) and other features. Beautiful graphics and no sexually explicit content.",,49.857676845040906,6.0,https://www.igdb.com/games/porno-studio-tycoon
38,9789,74.5,3.0,0,1539734400.0,,,RimWorld,209.40181139146617,38.0,89.50220505743559,68.0,rimworld,,"A sci fi colony sim driven by an intelligent AI storyteller.
RimWorld follows three survivors from a crashed space liner as they build a colony on a frontier world at the rim of known space. Inspired by the space western vibe of Firefly, the deep simulation of Dwarf Fortress, and the epic scale of Dune and Warhammer 40,000.

Manage colonists' moods, needs, thoughts, individual wounds, and illnesses. Engage in deeply-simulated small-team gunplay. Fashion structures, weapons, and apparel from metal, wood, stone, cloth, or exotic, futuristic materials. Fight pirate raiders, hostile tribes, rampaging animals and ancient killing machines. Discover a new generated world each time you play. Build colonies in biomes ranging from desert to jungle to tundra, each with unique flora and fauna. Manage and develop colonists with unique backstories, traits, and skills. Learn to play easily with the help of an intelligent and unobtrusive AI tutor.",,82.00110252871781,71.0,https://www.igdb.com/games/rimworld
39,67166,,,0,1019260800.0,,1.0,3D SexVilla 2: Ever-Lust,208.95603211576247,,50.362246055372296,6.0,3d-sexvilla-2-ever-lust,"real-time breathtaking 3D hardcore virtual sex! More than Flash or passive video clips, 3D SexVilla 2 is a real-time adult only interactive 3D sex simulation role playing game. It's like actually being there and being part of the action! 
3D SexVilla is a stimulating virtual sex simulation, with tons of content, sexy models, hot locations, outrageous poses, cool outfits, and sex toys.","Engage in your wildest sexual fantasies in this customizable sex-simulation game for the PC. 
 
Sexvilla is more than just interactive images or video clips! Check out the hottest cyber sex game in real-time 3D! It's like actually being there!! Blow Job, Riding, Doggy ... however you like it. Choose your favorite interactive soft- and hardcore sex poses! Choose the chick you like or create your own dream girl ... whatever you do, these virtual girls are always horny and willing to make you cum! Let your fantasies come true ... unlimited 3D sex all over the world! Access now to get virtual sex games with 3D movement and interaction with realistic lifelike girls never seen before.",,50.362246055372296,6.0,https://www.igdb.com/games/3d-sexvilla-2-ever-lust
40,28168,73.2,16.0,0,1569542400.0,,49.0,Code Vein,204.273505207764,430.0,63.2414229391547,18.0,code-vein,"In the not too distant future, a mysterious disaster has brought collapse to the world as we know it. Towering skyscrapers, once symbols of prosperity, are now lifeless graves of humanity’s past pierced by the Thorns of Judgment. At the center of the destruction lies a hidden society of Revenants called Vein. This final stronghold is where the remaining few fight to survive, blessed with Gifts of power in exchange for their memories and a thirst for blood. Give into the bloodlust fully and risk becoming one of the Lost, fiendish ghouls devoid of any remaining humanity. Wandering aimlessly in search of blood, the Lost will stop at nothing to satisfy their hunger. Team up and embark on a journey to the ends of hell to unlock your past and escape your living nightmare in CODE VEIN.",Code Vein is set in the not too distant future where a disaster has brought the world to ruin and vampire-like beings battle for dominance.,,68.22071146957735,34.0,https://www.igdb.com/games/code-vein
41,28309,65.5,2.0,0,1531958400.0,,,Tanzia,202.0600128720755,4.0,70.0,0.0,tanzia,"Unravel the mystery of your grandfather's disappearance while preventing a terrible evil from destroying your island home. Tanzia is a single-player retro-styled RPG that combines fast-paced strategic combat with elements of favorite classic RPGs in an open 3D world of magic and monsters. 
Fight Fantastic Foes 
As you venture deeper and deeper into the world of Tanzia, you'll face increasingly powerful creatures, from a lowly Akiri bird to the Skeleton King himself, with water spirits, giant spiders, zombies, corrupted beings and many more powerful creatures in between! 
 
Discover the World of Tanzia 
The island of Tanzia is completely open from the moment your adventure starts, you can get to discover and enjoy it at your own leisure, visit Turtle Beach, the Docks, the dangerous Emuri Village, the magical Lagoon, The Ruins of an ancient civilization and many more beautiful locations. Just make sure you're geared up & ready for the challenges you'll face along the way! 
 
Learn Arcanity 
Freeze your foes to make them slower, burn them to a crisp, root them in place! Learn different magic spells to deal with your enemies in creative ways, combine Arcanity with alchemy effects to become a one man army! 
 
Master Alchemy 
Heal, run faster, make your Arcanity spells more powerful than you can ever imagine! Mastering alchemy will be crucial in your quest to become the Hero of the Akazi stories. 
 
Features 
Unique backstory and island setting 
Main questline and optional quests to unlock more spells, items, and zones 
Open combat system where exploiting combinations of spells, enemy weaknesses, and environment is encouraged 
MMORPG-like controls with responsive movement to allow kiting and other emergent techniques 
Steam stats and achievements 
Steam Cloud savegames 
Steam Trading Cards, Badges, Emoticons & Profile Backgrounds","An Adventure RPG in comic book style with an island setting of treasure chests and waterfalls, Tanzia combines elements of favorite classic RPGs in an open 3D world of magic and monsters.",,67.75,2.0,https://www.igdb.com/games/tanzia
42,23733,,,0,,,43.0,Tunic,200.2633362395409,24.0,,,tunic,,"""TUNIC is an upcoming action-adventure game from solo developer Andrew Shouldice about a little fox in a big world where you do not belong. Coming to Windows, Mac, Linux, and consoles""",,,,https://www.igdb.com/games/tunic
43,110737,,,0,1539907200.0,,,The Watson-Scott Test,199.3717776881336,,78.90909090909089,27.0,the-watson-scott-test,"30 multiple-choice questions will help you decide if you're more afraid of clowns, snakes, or something more sinister... Are you a pathological liar or an empathic listener? Do you run from danger or take it head on? Do you really believe in ghosts?","Take the Watson-Scott personality test and discover your deepest and darkest fears. 30 multiple-choice questions will tell you if you're more afraid of clowns, snakes, or something more sinister...",,78.90909090909089,27.0,https://www.igdb.com/games/the-watson-scott-test
44,24426,80.0,8.0,0,1526342400.0,,8.0,Forgotton Anne,194.9139849310968,41.0,80.9751925634558,12.0,forgotton-anne,"""You play as Anne, the enforcer who keeps order in the Forgotton Realm, as she sets out to squash a rebellion that might prevent her master, Bonku, and herself from returning to the human world... ""","Forgotton Anne is a 2d cinematic adventure game combining puzzle platforming with adventure game elements. You play as Anne, the enforcer keeping order in the Forgotton Realm, as she sets out to squash a rebellion that might prevent her master, Bonku, and herself from returning to the human world. 
 
The World of Forgotton Anne: Imagine a place where everything that is lost and forgotten goes; old toys, letters, single socks. The Forgotten Realm is a magical world inhabited by Forgotlings, creatures composed of mislaid objects longing to be remembered again.",,80.48759628172789,20.0,https://www.igdb.com/games/forgotton-anne
45,36553,,,0,1496966400.0,,,Medieval Kingdom Wars,189.54655429990268,1.0,80.0,0.0,medieval-kingdom-wars,,"Rewrite medieval history through bloody siege combat and grand strategy. Rule, build, and wage war as one of the minor lords of medieval Europe… Medieval Kingdom Wars redefines Medieval Grand Strategy. Build your cities, wage your wars, serve your king, and experience siege combat with a degree of brutality never seen before",,80.0,0.0,https://www.igdb.com/games/medieval-kingdom-wars
46,41895,,,0,1498780800.0,,,House Party,186.2035302874931,3.0,80.0,6.0,house-party,,"House Party, in its concept and sense of humor, is inspired by the adventure style games of the 80s and 90s like Leisure Suit Larry and Monkey Island, but it is rendered in a beautiful full-3D first-person context.",,80.0,6.0,https://www.igdb.com/games/house-party
47,22426,,,0,1145577600.0,,,RapeLay,182.0193615348805,,69.8133449006916,6.0,rapelay,,RapeLay drew a great deal of controversy and made global headlines when western press and politicians discovered it back in 2009. It eventually led the Japanese government to start regulating the sale of rape games.,,69.8133449006916,6.0,https://www.igdb.com/games/rapelay
48,19404,,,0,1485475200.0,,,Eador: Imperium,181.9690332051075,,80.0,2.0,eador-imperium,,"Hire heroes, build an army, prevail in battles and try to keep your empire intact in the face of grave danger. Eador. Imperium is a new chapter in Eador series, known for its unique blend of grand strategy, turn-based tactics and RPG elements.",,80.0,2.0,https://www.igdb.com/games/eador-imperium
