,game_id,theme
265,119656,42
266,19817,1
267,19817,19
268,27266,19
269,11646,1
270,11646,17
271,11646,18
272,18869,1
273,18869,17
274,19560,1
275,19560,17
276,27725,43
277,10388,22
278,75900,42
279,9727,1
280,9727,18
281,9727,19
282,22486,42
283,55689,0
284,30245,1
285,25076,1
286,25076,38
287,4755,1
288,35371,1
289,35371,22
290,103292,1
291,5647,1
292,5647,23
293,5647,39
294,51577,0
295,28277,0
296,11169,1
297,11169,17
298,119422,0
299,76263,1
300,26223,43
301,12328,17
302,12328,42
303,37016,1
304,37016,19
305,37016,21
306,57372,1
307,1006,1
308,1006,18
309,59427,0
310,20776,17
311,20776,22
312,89597,1
313,30229,22
314,30229,39
315,25300,1
316,25300,18
317,25300,21
318,25300,38
319,31480,0
320,15536,1
321,15536,33
322,15536,39
323,13210,1
324,13210,19
325,13210,21
326,54678,19
327,54678,43
328,3225,1
329,3225,18
330,3225,21
331,3225,33
332,3225,38
333,103168,1
334,103168,17
335,40477,17
336,7346,1
337,7346,17
338,7346,38
339,24620,18
340,26563,33
341,26563,42
342,14593,1
343,14593,17
344,19301,18
345,19301,21
346,103298,1
347,9058,17
348,9058,22
349,9058,39
350,85740,0
351,17519,0
352,26855,1
353,26855,17
354,26855,18
355,533,1
356,533,23
357,116530,1
358,116530,17
359,116530,43
360,106805,1
361,106805,39
362,11156,1
363,11156,18
364,11156,38
365,26192,1
366,26192,19
367,26192,21
368,26192,23
369,18182,1
370,18182,17
371,43130,42
372,848,17
373,848,22
374,848,39
375,36269,0
376,236,17
377,2031,1
378,2031,17
379,2031,18
380,2031,22
381,2031,23
382,2031,39
383,28182,1
384,28113,27
385,28113,40
386,5867,1
387,11666,18
388,11582,18
389,11582,41
390,27301,42
391,9927,1
392,9927,17
393,9927,23
394,77745,42
395,19565,1
396,19565,23
397,19565,31
398,19565,38
399,119207,0
400,22477,42
401,1593,17
402,23651,17
403,87622,1
404,113402,0
405,19441,1
406,19441,18
407,19441,23
408,19441,33
409,19441,38
410,3188,1
411,3188,19
412,3188,20
413,121,17
414,121,21
415,121,33
416,121,38
417,27419,1
418,95340,1
419,17906,42
420,74368,42
421,1906,31
422,1906,43
423,19075,42
424,68286,1
425,68286,18
426,18167,19
427,18167,20
428,18167,23
429,18167,27
430,44076,1
431,44076,19
432,44076,21
433,3025,1
434,3025,17
435,3025,18
436,3025,22
437,3025,23
438,3025,38
439,115735,42
440,78389,27
441,78389,42
442,55282,19
443,101608,1
444,101608,17
445,13660,18
446,13660,41
447,113113,1
448,113113,17
449,113113,27
450,113113,40
451,10964,1
452,10964,23
453,10964,39
454,1342,1
455,1342,18
456,1342,20
457,1342,31
458,1009,1
459,1009,19
460,1009,21
461,1009,23
462,87507,0
463,117717,28
464,117717,33
465,49414,0
466,7331,1
467,7331,17
468,7331,22
469,43097,42
470,8968,20
471,8968,31
472,8968,42
473,28794,22
474,77529,0
475,20329,1
476,3042,1
477,3042,19
478,3042,21
479,3042,23
480,3042,38
481,109129,0
482,19531,1
483,19531,18
484,19531,19
485,9538,17
486,9538,18
487,9538,22
488,9538,39
489,115280,1
490,43367,1
491,17613,0
492,37382,17
493,37382,38
494,27209,1
495,27209,17
496,108778,0
497,28010,1
498,28010,17
499,22471,42
500,1905,1
501,1905,21
502,1905,33
503,55888,0
504,22482,42
505,77334,22
506,77334,39
507,571,1
508,571,17
509,571,18
510,571,19
511,571,22
512,112416,0
513,59048,42
514,51991,42
515,1802,17
516,1802,18
517,119199,0
518,112191,17
519,41,1
520,41,18
521,41,23
522,118218,1
523,118218,23
524,118218,38
525,118218,39
526,11423,42
527,3277,1
528,3277,21
529,19376,0
530,16992,1
531,16992,27
532,16992,33
533,78632,1
534,19133,1
535,19133,17
536,89550,18
537,19698,17
538,1244,1
539,9835,17
540,9835,19
541,9835,22
542,35463,0
543,113201,1
544,113201,17
545,115283,1
546,62151,1
547,62151,17
548,62151,18
549,62151,31
550,8746,1
551,8746,17
552,8746,22
553,28325,22
554,57187,1
555,57187,18
556,57187,42
557,11171,1
558,11171,23
559,11171,38
560,115276,1
561,112589,1
562,28129,42
563,36926,1
564,11231,1
565,11231,17
566,6985,17
567,6985,22
568,6985,39
569,11679,28
570,11679,42
571,9552,1
572,9552,18
573,9552,21
574,9552,33
575,9477,1
576,9477,22
577,9477,39
578,9648,18
579,9648,42
580,2939,19
581,2939,20
582,732,1
583,732,32
584,732,38
585,77884,42
586,7406,17
587,7406,31
588,118871,1
589,59173,42
590,90099,1
591,90099,18
592,90099,38
593,7350,1
594,7350,18
595,7350,19
596,7350,20
597,7350,21
598,2002,22
599,9498,1
600,9498,23
601,2040,1
602,2040,17
603,2040,22
604,1887,1
605,1887,17
606,1887,22
607,117149,19
608,10239,1
609,10239,21
610,10239,38
611,3155,17
612,3155,39
613,103328,21
614,25921,17
615,25921,28
616,9730,1
617,9730,31
618,9730,38
619,9730,43
620,87975,0
621,107614,1
622,107614,19
623,107614,43
624,472,1
625,472,17
626,472,33
627,472,38
628,9806,1
629,9806,17
630,9806,18
631,34024,1
632,34024,39
633,28552,1
634,28552,38
635,26870,17
636,10760,1
637,10760,17
638,10760,19
639,14362,18
640,14362,20
641,14362,43
642,7342,1
643,7342,19
644,7342,31
645,733,1
646,733,27
647,733,38
648,7276,17
649,18290,1
650,18290,18
651,18290,21
652,18290,33
653,37001,17
654,32457,0
655,61985,0
656,113636,17
657,76877,1
658,57296,0
659,12517,17
660,12517,27
661,12517,31
662,107218,1
663,95776,0
664,44178,0
665,68287,1
666,68287,18
667,68287,21
668,68287,23
669,68287,39
670,25905,0
671,103281,1
672,960,1
673,960,20
674,960,33
675,18918,17
676,18918,21
677,21564,1
678,21564,18
679,58075,1
680,111253,0
681,7351,1
682,7351,18
683,7351,19
684,7351,21
685,1372,1
686,1372,39
687,115741,42
688,76882,1
689,76882,17
690,76882,23
691,1985,1
692,1985,17
693,1985,22
694,1985,23
695,1985,38
696,103054,1
697,103054,22
698,103054,23
699,7344,1
700,7344,17
701,7344,20
702,32510,0
703,15851,1
704,11737,1
705,11737,18
706,11737,38
707,11737,43
708,10243,22
709,113109,1
710,26758,1
711,26758,17
712,26758,33
713,26758,38
714,75242,1
715,75242,20
716,26658,1
717,26658,19
718,26658,21
719,51213,0
720,103369,1
721,103369,17
722,20331,17
723,90101,1
724,90101,17
725,90965,0
726,119119,42
727,19085,1
728,19085,23
729,115740,42
730,18841,17
731,18841,19
732,18841,27
733,8559,1
734,8559,21
735,8559,23
736,116559,1
737,116559,17
738,116559,31
739,116559,43
740,115301,0
741,7599,1
742,7599,17
743,7599,18
744,7599,31
745,101573,0
746,27378,0
747,9760,23
748,9760,39
749,1352,1
750,112754,0
751,18020,1
752,18020,19
753,114285,0
754,43165,38
755,36977,1
756,36977,42
757,75797,42
758,19249,1
759,19249,18
760,19249,21
761,19249,33
762,19249,38
763,662,17
764,662,22
765,110503,0
766,27316,1
767,27316,17
768,27316,22
769,27316,23
770,65503,17
771,58958,0
772,9834,17
773,11668,1
774,11668,19
775,11668,21
776,87485,0
777,19542,18
778,19542,21
779,114795,1
780,114795,18
781,106279,21
782,106279,23
783,19541,19
784,19541,21
785,19541,38
786,7364,27
787,7364,31
788,7364,42
789,119507,1
790,119507,18
791,119507,38
792,1121,1
793,1121,18
794,1121,23
795,1121,33
796,1121,38
797,103295,1
798,8744,1
799,60044,0
800,55077,1
801,538,1
802,538,17
803,538,18
804,538,19
805,538,22
806,538,31
807,501,1
808,501,23
809,501,38
810,117497,22
811,29032,1
812,29032,17
813,5601,18
814,5601,38
815,5601,43
816,9856,22
817,19083,27
818,19083,40
819,11367,17
820,11367,27
821,3019,1
822,3019,18
823,3019,33
824,11208,1
825,11208,17
826,11208,18
827,107169,1
828,107169,18
829,22483,42
830,11118,1
831,11118,23
832,17000,17
833,17000,28
834,17000,33
835,68855,1
836,90788,0
837,11292,1
838,11292,17
839,11292,18
840,1377,1
841,1377,39
842,471,1
843,471,18
844,471,23
845,89132,0
846,87514,0
847,63933,0
848,77597,0
849,16391,0
850,109274,1
851,109274,20
852,109274,31
853,109274,43
854,19549,1
855,19549,39
856,76253,1
857,1341,1
858,1341,18
859,1341,23
860,75240,0
861,38030,1
862,7386,1
863,7386,18
864,832,17
865,832,31
866,15409,1
867,15409,17
868,15409,22
869,15409,27
870,353,0
871,102420,0
872,7046,18
873,7046,21
874,7046,33
875,359,1
876,359,17
877,359,18
878,359,21
879,359,33
880,109292,0
881,11162,1
882,11162,22
883,2918,17
884,2918,22
885,241,1
886,241,39
887,22485,38
888,22485,42
889,4843,1
890,4843,22
891,4843,38
892,7334,1
893,7334,17
894,7334,19
895,17446,1
896,17446,22
897,17446,39
898,80382,0
899,7213,1
900,7213,17
901,7213,22
902,7213,23
903,5589,1
904,18981,0
905,21642,27
906,21642,39
907,16806,18
908,79999,20
909,79999,43
910,28540,1
911,28540,22
912,28540,23
913,28540,38
914,120201,19
915,120201,21
916,36732,1
917,36732,42
918,28472,40
919,3278,33
920,1011,1
921,1011,18
922,1011,27
923,1011,33
924,119305,18
925,119305,27
926,116352,0
927,36815,19
928,36815,42
929,96239,1
930,96239,21
931,22439,1
932,22439,17
933,22439,22
934,22439,38
935,7843,1
936,7843,39
937,5503,1
938,5503,20
939,11233,31
940,74701,1
941,74701,18
942,68271,1
943,68271,19
944,16287,1
945,16287,18
946,16287,38
947,7323,1
948,7323,19
949,7323,21
950,7323,23
951,7323,38
952,233,1
953,233,18
954,233,19
955,17479,1
956,17479,18
957,17479,19
958,17479,21
959,64061,0
960,19686,1
961,19686,19
962,19686,21
963,16999,1
964,16999,21
965,16999,38
966,115284,1
967,109606,0
968,102868,1
969,102868,39
970,22690,1
971,587,1
972,587,39
973,101211,1
974,101211,38
975,11550,18
976,11550,41
977,26900,0
